trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-236.8056137518552,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-126.09611726618499,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,15,1.4331469469533202,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-63.90474697731131,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,0,-120.33463002453227,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-78.77604400844595,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-93.25756201602034,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,12,-43.56382824619672,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-30.930751436310054,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,2,-23.88715991975071,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,10,-38.153658998887835,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,12,-75.97816033132507,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,10,9.16512161989004,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,14,7.571260442940408,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,12,-30.153889369400297,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-78.26446174823532,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,17,15.751834633480959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-4.362626225006661,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",35,17,-17.25628178285888,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,5,-56.862382223845096,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,6,-32.10375890873321,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,14,11.15860036374804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,12,9.901386757288474,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,0,-93.54831841289759,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,11,13.857371205558158,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,-7.597936160699395,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",35,23,-9.599405688612276,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,10,-34.9595359009036,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,0,14.869685712703657,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,0,-82.51083243972232,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",30,18,4.536938234640868,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,14,11.04840231501922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,16,10.764830644390631,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,5,-21.80425208892529,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,20,6.439816454869931,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,15,4.293612006138265,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,0,4.316331872372073,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",30,20,15.313063617960092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,12,16.21681239302049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,15,-4.267943314249291,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,0,-39.32646022224992,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,29.934922870124687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,20,13.455700943621325,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,12,20.855021541368288,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,13,13.691710570805018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,7,-3.8939811398857564,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,0,16.19273795385599,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,-50.40472523596272,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",25,11,15.810250946055124,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,8,-23.912549434317867,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,8,14.722565578317678,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,0,-1.143344001368192,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,15,17.996465131984777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,19,10.805388306094077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,12,8.992869739470864,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,2,22.150368556937583,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,15,9.39346014195408,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",30,15,0.20734903489442158,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,9,8.797434209529994,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,3,13.670242377350592,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",30,23,15.885826759635982,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,0,26.63140228074071,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,11,15.583857679051647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
